n,h,pi_n,error_pi_n,pi_wynn,error_pi_wynn
1,1.0,1.2246467991473532e-16,3.141592653589793,,
2,0.5,2.0,1.1415926535897931,3.414213562373096,0.2726209087833027
4,0.25,2.8284271247461903,0.3131655288436028,,
8,0.125,3.0614674589207183,0.08012519466907486,3.1414183279332106,0.00017432565658248578
16,0.0625,3.121445152258052,0.020147501331741147,,
32,0.03125,3.1365484905459393,0.0050441630438538,3.1415926589180527,5.328259611303565e-09
64,0.015625,3.140331156954753,0.0012614966350401602,,
128,0.0078125,3.141277250932773,0.0003154026570202362,3.141592653589786,7.105427357601002e-15
256,0.00390625,3.141513801144301,7.885244549221682e-05,,
